ID	TCGA_BC_A10Q_LIHC_NT	TCGA_BC_A10T_LIHC_NT	TCGA_BC_A10W_LIHC_NT	TCGA_2V_A95S_LIHC_TP	TCGA_2Y_A9GS_LIHC_TP	TCGA_2Y_A9GU_LIHC_TP	TCGA_A7_A0CE_BRCA_NT	TCGA_A7_A0CH_BRCA_NT	TCGA_A7_A0D9_BRCA_NT	TCGA_3C_AAAU_BRCA_TP	TCGA_3C_AALJ_BRCA_TP	TCGA_3C_AALK_BRCA_TP
ENSG00000140859	1164	960	1801	87	124	22	452.6984	635.2609	547.8615	462.8768	242.0671	313.1982
ENSG00000227268	15	15	29	3	2	0	30.7937	40.9967	51.9348	55.8347	1.8132	4.9648
ENSG00000151657	120	157	205	1902	3260	1273	254.2857	185.0494	208.2485	1586.4646	2344.515	1050.0621
ENSG00000125498	6.87	1	5.53	1321	1424	497	0.9524	0	0.5092	1331.7617	552.1306	834.5056
ENSG00000243772	8.13	6	7.47	502.88	723.74	651.79	0	2.6328	0.5092	566.016	477.5159	567.1452
ENSG00000189013	3	3	16	843	1064	618	0.6349	0	0.5092	500.7893	1047.1442	1246.1729
ENSG00000221957	0	4	6	42	267	104	0	3.7612	5.6008	4198.2891	165.9112	608.192
ENSG00000167633	3	2	4	787	1225	722	2.2222	4.5134	0.5092	1029.8406	992.7471	665.2875
ENSG00000240403	0	3	0	0	0	0	0.6349	2.6328	0.5092	0.6893	2.7199	1.2412
ENSG00000242019	0	0	1	4922	7007	4910	0	0	0	9762.8058	5620.1269	7128.2582
ENSG00000104970	0	0	0	164	324	103	0	0.3761	0	180.1911	491.3871	153.9098
ENSG00000126259	0	0	0	150	216	550	6.0317	4.1373	1.5275	414.6246	143.2457	194.0422
ENSG00000149571	2	8	15	412	335	262	14.6032	4.1373	9.6741	245.0524	1181.3237	420.7695
ENSG00000183853	20	16	11	2340	1379	2345	311.4286	365.5853	1038.1874	1740.5271	1018.1324	1418.7009
ENSG00000116014	0	0	7	107	18	12	0.6349	4.1373	0.5092	979.5204	181.3237	252.379
ENSG00000170498	30	10	68	215	242	162	1.9048	0.3761	0	205.072	176.7906	88.1258
ENSG00000049130	94	204	101	3000	5308	1010	934.6032	693.559	802.444	1516.8435	796.9175	1077.3686
ENSG00000157404	35	61	30	79	590	109	3428.254	1899.7649	621.1813	498.7213	512.2393	286.7191
ENSG00000134962	1817	1870	1141	23.22	43.61	26.65	80.6349	1270.898	3139.002	24.2399	32.4841	58.1878
